               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.021339,            0.012084,           0.0059839,             0.89227,             0.97215,             0.92671,             0.64429,            0.014272,           0.0068864,           0.0019424,           0.0064568,           0.0064568,           0.0064568
                  36,            0.022307,            0.013671,           0.0044672,              0.9271,             0.95249,             0.96054,             0.70158,            0.012782,           0.0067516,          0.00045981,           0.0063526,           0.0063526,           0.0063526
                  37,            0.021955,            0.012821,           0.0054395,             0.92184,             0.98363,               0.963,             0.70234,            0.013178,           0.0067574,          0.00042004,           0.0062484,           0.0062484,           0.0062484
                  38,            0.024552,            0.012799,           0.0059445,             0.90742,             0.97851,             0.97161,             0.72145,            0.012796,           0.0067339,          0.00033874,           0.0061442,           0.0061442,           0.0061442
                  39,            0.020393,            0.012778,           0.0046425,             0.91949,             0.97009,             0.97636,             0.70141,            0.013116,            0.006715,          0.00042116,             0.00604,             0.00604,             0.00604
                  40,            0.023213,            0.012601,           0.0041435,             0.92162,              0.9769,             0.96347,             0.71594,            0.012643,           0.0065187,          0.00059395,           0.0059358,           0.0059358,           0.0059358
                  41,            0.020674,             0.01211,           0.0042101,             0.89869,             0.98819,             0.96575,             0.72123,            0.012594,           0.0065119,          0.00036287,           0.0058316,           0.0058316,           0.0058316
                  42,            0.021561,            0.013424,           0.0052154,             0.89894,              0.9809,             0.95402,               0.724,            0.012121,           0.0064504,          0.00034318,           0.0057274,           0.0057274,           0.0057274
                  43,            0.021996,            0.013147,           0.0047065,             0.91016,             0.98169,             0.96228,             0.72772,            0.011906,            0.006444,          0.00030007,           0.0056232,           0.0056232,           0.0056232
                  44,            0.021077,            0.012707,           0.0038142,              0.9097,             0.97536,             0.96627,             0.71772,            0.012289,           0.0066118,          0.00042772,           0.0055189,           0.0055189,           0.0055189
                  45,             0.02104,            0.012515,           0.0040527,              0.9066,             0.98819,             0.96756,             0.72693,            0.012398,           0.0065661,           0.0003397,           0.0054147,           0.0054147,           0.0054147
                  46,            0.022074,             0.01252,           0.0047771,             0.90512,             0.98046,             0.95936,             0.72207,            0.012063,           0.0064648,          0.00048709,           0.0053105,           0.0053105,           0.0053105
                  47,            0.020232,            0.012294,           0.0027687,             0.92411,             0.99145,             0.96234,             0.71721,            0.012508,           0.0064592,          0.00066656,           0.0052063,           0.0052063,           0.0052063
                  48,             0.02095,             0.01301,           0.0035121,              0.9208,             0.98591,             0.96515,             0.72371,            0.011838,           0.0064683,          0.00051381,           0.0051021,           0.0051021,           0.0051021
                  49,             0.02194,            0.013983,           0.0039018,             0.91213,             0.99573,             0.96875,             0.73657,            0.011833,           0.0062964,          0.00018064,           0.0049979,           0.0049979,           0.0049979
                  50,            0.020259,            0.012002,           0.0035515,             0.91359,              0.9923,             0.96378,             0.73104,            0.011927,           0.0064121,          0.00029348,           0.0048937,           0.0048937,           0.0048937
                  51,            0.019507,            0.012015,           0.0031064,             0.91752,             0.99635,              0.9702,             0.74453,            0.011813,           0.0062858,          0.00015295,           0.0047895,           0.0047895,           0.0047895
                  52,            0.020368,             0.01143,           0.0050806,             0.91642,             0.99145,             0.97287,             0.75237,            0.011616,           0.0061721,          0.00012349,           0.0046853,           0.0046853,           0.0046853
                  53,            0.020246,            0.012143,           0.0045726,             0.91121,             0.99095,             0.97133,             0.74988,            0.011373,           0.0061497,           0.0001606,           0.0045811,           0.0045811,           0.0045811
                  54,            0.019786,            0.011593,            0.003236,              0.9279,                   1,             0.97949,             0.75077,            0.012025,           0.0062874,          0.00012359,           0.0044768,           0.0044768,           0.0044768
                  55,            0.019071,            0.011693,             0.00464,              0.9251,             0.99794,              0.9765,             0.74588,            0.012328,           0.0064051,          0.00026873,           0.0043726,           0.0043726,           0.0043726
                  56,            0.019527,            0.012467,           0.0041397,             0.94037,             0.99407,             0.98141,             0.75855,            0.011606,           0.0062298,          0.00011918,           0.0042684,           0.0042684,           0.0042684
                  57,             0.01921,            0.011235,           0.0045521,             0.93019,             0.99145,             0.98026,             0.74395,            0.011904,           0.0061692,           0.0001509,           0.0041642,           0.0041642,           0.0041642
                  58,            0.019418,             0.01162,           0.0036385,             0.93911,             0.97438,             0.98003,             0.75163,             0.01184,           0.0061292,          0.00013317,             0.00406,             0.00406,             0.00406
                  59,            0.018468,            0.011852,            0.003137,             0.93915,             0.97009,             0.97525,             0.74192,            0.011544,           0.0061226,          0.00033658,           0.0039558,           0.0039558,           0.0039558
                  60,            0.020706,            0.012169,           0.0047961,             0.92011,             0.99413,              0.9717,             0.74635,            0.011889,           0.0062033,          0.00037314,           0.0038516,           0.0038516,           0.0038516
                  61,            0.020389,            0.012138,           0.0044088,             0.93053,             0.98718,             0.97714,             0.75674,             0.01143,            0.006193,          0.00013832,           0.0037474,           0.0037474,           0.0037474
                  62,            0.018997,            0.011615,           0.0031589,             0.92921,             0.99573,             0.97905,             0.75514,            0.011626,           0.0061584,          0.00013744,           0.0036432,           0.0036432,           0.0036432
                  63,            0.019916,             0.01223,           0.0038479,             0.94085,             0.99573,             0.98018,              0.7542,            0.011479,           0.0060948,           0.0001673,           0.0035389,           0.0035389,           0.0035389
                  64,            0.018491,             0.01116,            0.003109,             0.94573,             0.99573,             0.98064,             0.76996,            0.011128,           0.0060053,          0.00010466,           0.0034347,           0.0034347,           0.0034347
                  65,            0.018921,            0.011495,           0.0026367,             0.95269,             0.99145,             0.98061,              0.7679,            0.011122,            0.005973,          9.2902e-05,           0.0033305,           0.0033305,           0.0033305
                  66,            0.019774,            0.010854,           0.0026031,             0.95274,             0.99145,             0.98148,             0.77285,            0.011095,           0.0060608,          8.9872e-05,           0.0032263,           0.0032263,           0.0032263
                  67,            0.018878,            0.011553,           0.0020329,             0.94793,             0.99145,             0.98092,             0.77359,            0.011297,           0.0060592,          7.4606e-05,           0.0031221,           0.0031221,           0.0031221
                  68,            0.020855,            0.012257,               0.003,             0.94667,             0.99145,             0.97978,             0.76245,            0.011296,           0.0060794,          6.0983e-05,           0.0030179,           0.0030179,           0.0030179
                  69,             0.01891,            0.011544,           0.0033161,             0.94802,             0.99573,             0.98104,             0.77284,            0.010925,           0.0059814,          6.7649e-05,           0.0029137,           0.0029137,           0.0029137
                  70,            0.018541,            0.011591,           0.0023281,              0.9368,              0.9882,             0.97945,             0.77543,            0.011025,           0.0059503,          7.8321e-05,           0.0028095,           0.0028095,           0.0028095
                  71,            0.018792,            0.012433,           0.0014754,             0.94359,             0.98809,              0.9807,             0.78241,            0.011093,           0.0059538,           8.831e-05,           0.0027053,           0.0027053,           0.0027053
                  72,            0.019731,            0.011647,           0.0022894,             0.95633,             0.98443,             0.98115,             0.77903,            0.010676,           0.0059225,          6.5492e-05,           0.0026011,           0.0026011,           0.0026011
                  73,            0.016363,            0.010797,           0.0028181,             0.94273,             0.99435,             0.97975,             0.78376,            0.010546,           0.0059035,          5.9546e-05,           0.0024968,           0.0024968,           0.0024968
                  74,            0.018277,            0.012547,           0.0023947,             0.95103,             0.99136,             0.98039,             0.77683,            0.010566,           0.0059485,           5.923e-05,           0.0023926,           0.0023926,           0.0023926
                  75,            0.017866,            0.011402,           0.0020446,             0.94822,              0.9884,             0.97965,             0.78138,            0.010638,           0.0059302,          5.7999e-05,           0.0022884,           0.0022884,           0.0022884
                  76,            0.018487,            0.011156,           0.0032502,             0.94627,             0.99573,             0.98117,             0.77933,             0.01063,           0.0059101,          5.2558e-05,           0.0021842,           0.0021842,           0.0021842
                  77,            0.018217,            0.010812,           0.0023164,             0.95855,             0.98291,             0.98338,             0.78622,            0.010508,           0.0058551,           5.293e-05,             0.00208,             0.00208,             0.00208
